X_lem,y_lem
lovin digital band sings iphone play guitar app fan record vids ipad2s cnn digital cnngrill,0
barry diller think ipad content nut,1
really need another big social network right thanks google,0
japan docomo introduced mobile apps six year apple came app store jpmobilesummit,1
jeez guy dunno apple pop gold gym u realize un job aesthetic apple,1
even begin apple win tc apple,0
even begin apple win,0
even begin apple win opening temporary store downtown austin support ipad launch genius,0
even begin apple win techcrunch ipad,0
even begin apple win,0
even begin apple win,0
even begin apple win,0
even begin apple win via,0
even begin apple win,0
even begin apple win via,0
even begin apple win gonna get sum via,0
even begin apple win techcrunch,0
even begin apple win win big,0
even begin apple win apple ipad pm,0
even begin apple win apple ipad tc,0
even begin apple win apple,0
even begin apple win tc apple ipad,0
even begin apple win via apple,0
even begin apple win via apple,0
badgeless event free drink heading free google sponsored happy hour semantic web austin fogo de ch,0
best swag ever thanks charging iphone thanks,0
timing everything ipad brand winner pnid,0
hey exhibitor capture booth experience retrollect disc popular disc win ipad,0
fantastic schedule app iphone bummer still crackberry,0
photo far best accessory ipad followed closely margarita,0
one fav photo far google,0
think fell bit love google today thanks throwing nerd party speakeasy,0
way figure ipad good replacement making year,0
need find better stream follow inane ipad tweet surely southby,1
find hottest spot w hot spot app wp iphone,0
google focusing bridging digital physical divide eg map streetview hotpot autonomous driving,0
hey folk please keep u posted google circle hope blast,0
apple follow customer forbes alcoholic call enabling rest u call genius,0
good news austin bound apple fanboys ipad,0
wish list tech ntn google apps help level playing field kid may software home,0
hitlantis ipad cool song explorer app hitlantis com musicviz,0
friend willing pick ipad pay premium dm atl,0
good talk akqas ipad interface w callback design principle wish go beyond medium marketing example fb,0
person front took picture new ipad,0
marketing genius apple open pop store outside,0
get ready word circle trending google circle social,0
get food forget snap photo win macbook air ipad apple tv,0
austin getting full underway tell iphone intermittent brick crowded,1
google giving free google lab laptop open source coder r attending meet got cupcake,0
go app available blackberry window addition iphone ipad android,0
want go apple pop store afraid leave new ipad,0
omg going macbook pro ipad iphone ipod galaxy tab techgeek,0
golden ticket f 4sq party day real party redbullbpm felix da housecat playing ipad,0
gsd google party blowing mind much amazing food drink music photo booth fun,0
google authenticator app mobile device step ahead,0
google circle first real alternative facebook,0
google let block site stand blocking look like need,0
length google penalty based severity breach webmaster guideline e white text white bgr might get day pen qagb,1
google launch major new social network called circle possibly today never beat myspace,1
google launch major new social network called circle possibly today bigger gaga,0
google launch major new social network called circle possibly today super interesting,0
google launch new social network called circle today applause new privacy model attempt,0
google connect digital physical world mobile,0
future google contextual discovery location context help u go deeper ever search without search,0
check googletv ipad apps connected tv experience connectedtv,0
check googletv ipad apps connected tv experience connectedtv fascinating,0
cnnmoney got craving mind created app foodspotting iphone apps,0
ipad hand awesome dude gave cutsies hour line austin apple winning,0
smtravel heard google plan launch socnet may circle learned lot year lot changed via,0
may invite cool party two iphone charger pocket happy see,0
meeting line popup apple store ipad love place,0
apple hawk ipad festival popup store,0
hello enjoy ride anywhere austin download groundlink app booth,0
oh lordy go time apple store open pulling ipad trigger,0
loved honesty google marissa mayer keynote many product need step customer service location,0
hey bout donating spending new ipad japan really need thing,1
wondering much revenue austin store grossed account ipad amid strategic release,0
could forget cell phone today fail glad ipad lifelinetotheworld,0
3g iphone hr tweeting rise austin dead need upgrade plugin station,1
feeling worst place try get ipad everyone trying get one techiesunite,1
love macbook ipad iphone year one run juice jump next,0
holy cow got hooked paolo alex backup charger iphone facebook com powermat powermatteam thanks,0
holy cow got hooked paolo alex backup charger iphone facebook com powermat powermattteam thanks,0
catch mean ipad apple ipad,0
knew plied beer stogy last night weasel way team android party tonight success,0
thought would use ipad lot even touched hmmzies,1
austin convention center today w fam showing new iphone game,0
beyond frustrated w samsung moment runaround leaving att iphone enjoy,0
idea startupbus thing addictive also added android app,0
hot spot data speed could keep also thanks apple releasing io time,0
wondering ppl friday queue convention centre apple store xd still figuring wot,0
week ipad clip join review free go app ipad sxswgo,0
room full people w good wi fi run frostwire android share pic apps vids w others,0
room full people w good wi fi run frostwire android share pic apps vids w others,0
hot spot austin gowalla right convention cnt ignite party n apple store,0
austin weekend supporting smarty ear launch new ipad apps speech therapy sxswh sxsh,0
need sweet mac goodness apple set temporary store downtown,0
zite intelligent ipad magazine deliciousness trending youneedthis,0
google interested location based tech indoor venue business convention center etc tech need improve first,1
tim soo invisible instrument jaw dropping iphone wii controller lovemusicapi,0
rockin ipad downtown apple store apple,0
technews ipad get temporary apple store tech news apple apple store ipad tech,0
awesome ipad jailbreak grateful dead fab,0
new post ipad launch huge line apple pop shop austin,0
ipad sold went new buyer report socialmedia tech ipad medium,0
remaining ipad stock apple store come get one,0
ipad accessory bag thanks,0
ipad app pure gold,0
first ipad even exist last year already feel like pulling antique everytime use ipad ipad,1
turn ipad physical messaging platform holler gram cheeky app built,0
shoot ipad display search result go question later osmpw,1
pic ipad winning performance accordion toodamnlucky,0
fear iphone att 3gs slowpoke network sxswmusic,0
iphone app mocking like money come,1
iphone app one worst use long time,1
cool iphone app launched flypost community bulletin board w location learn,0
pedicab iphone charger would epic win,0
check iphone developer meet,0
iphone transient device used short burst ipad 8pm couch device,0
disliking iphone twitter auto shortening link,1
iphone clearly positively happily,0
flipboard developing iphone version android say,0
iphone overheating many british sounding people texas,1
part presentation good thing crashing instead work best iphone android,0
sister throwing google party tonigh come band food art ice cream nifty interactive,0
iphone wilting stress,1
believe almost always use google map iphone google map use mobile say,0
course get apple store geeksrule,0
gotta get hey taariq howdy texas fav app android get iphone usguys,0
bigger iphone smaller pc good big event like meeti,0
bigger iphone smaller pc good big event like meeting day,0
bit jealous seeing attendee ipad ipad seems obsolete,0
learning thing screen year old explanation instantly knew use ipad,0
location pixieengine google say future location location location cnn,1
ipad keep awake thank god bought,0
iphone know week tough already dwindling battery help jeebus keep correcting curse word,1
google launch social network circle excited,0
google launch major new social network called circle via,0
google launch major new social network called circle updated launched soon care,1
google launch major new social network called circle brazil orkut user waiting,0
google launch major new social network called circle possibly today updated,0
google launch major new social network called circle possibly today,0
google launch major new social network called circle possibly today surely threat fb,0
google launch major new social network called circle possibly today pakistan cwc,0
google launch major new social network called circle possibly today rt via,0
google launch major new social network called circle possibly today good,0
google launch major new social network called circle possibly today via,0
google launch major new social network called circle possibly today via screenfuture,0
google launch major new social network called circle possibly today via,0
google launch major new social network called circle possibly today,0
google launch major new social network called circle google circle,0
google launch major new social network called circle google circle,0
google launch major new social network called circle v,0
google launch new social network cnet news,0
google launch new social network circle linking u closely peep u connect w possibly today,0
google launch product wait launch product exists wait product exist,1
god like imac macbook iphone blackberry staring enough time read book remember,1
ha seems like news apple temporary ipad store wth,1
line apple store ipad day,0
saw giant line thought movie premiere apple store ipad heard scream premiere,0
since listening google marissa mayer engaging twitter wondering heck happened google buzz,0
looking forward google bing q website ranking week,0
lot google effort helping japan many global issue wtf w people,0
gotta love unabashed apple fanboy even begin apple win,0
geeky love apple opening temporary store downtown austin ipad launch,0
love apple come w cool technology one ever heard go conference,0
love apple come cool technology one ever heard go conference,0
trying make detailed colour coded google calendar proving really tough also get organized,0
many people ipads whole room raise hand ipad half room raise hand stillonamacbook shame nfusion,0
love marketing genius inside apple temporary store austin,0
great vid marty ipad live unboxing front apple store video,0
think may go ipad laptop today veteran reason,0
made soundcloud ambassador upload music show reward soundcloud android app fresh,0
alert medium saw one android tablet like finding needle haystack also saw cr,0
great mental image people session taking photo w ipad 2 air doingitwrong,0
purchased mexican mavis boy bear sold first listen thanks itunes free itunes,0
think might go weekend without seeing ipad case twice,0
sure mine via ipad know agnerd dairy relies evernote agchat,0
bummed miss year quarantined kiddie cold garageband ipad comfort fb,0
miss knew spotted nfc enabled google place marker bird wonder billboard near,0
loving morphie juicepack today recharge iphone worth,0
brilliant move apple even begin apple win,0
could murphy usa better serve inside google map phone google announcing great feature v,0
ipad intimate together tapworthy designflaws,0
compiling list one google doc taking lot longer thought many party many good musician,1
day charger kicked bucket heck apple store within walking distance,1
iphone ipad feel unequipped compared everyone else dang,1
hm need another google launch major new social network called circle possibly today,1
new ubersocial iphone app store includes uberguide sponsored mashable,0
couple new blog random tip awesome iphone app dev politics behind html,0
dude next holding using ipad like trophy lookingforwardtothemusicfest,0
hard feeling towards google say would make great partner checkins pnid,0
rumor apple popup store downtown austin ipad launch smart move 1of many dfcbto,0
google launching anything partying circle,1
buy buy even begin apple win,0
farooqui mobile io android catching fast grow allow app purchasing gamesfortv,0
fear extended wed last day apple popup sunday appleatxdt,0
nothing teeming sea iphone addict busy twittering ever engage one anoth cont,1
fan new trend audience sharing opinion via holding ipad listen annoying,1
power apple people spent hundred dollar attend spending day waiting line ipad,0
continuum attitude crowdsourcing gap hear apple tell,0
third era google logo interactive play space get ready googledoodle gsdm,0
highlight day undoubtedly meeting google second softball fancrazed preso,0
wow lot audience seen 3d vector panning google map mobile gasp appreciation,0
tomlinson tx observer say apple subscription data holding biggest impediment success newsapps,1
official app go android iphone ipad thanks installed,0
technews omg jk kiss ipad slap xoom tech news ipad jk omg tech,0
also android foodspotting hit iphone app find food crave cnnmoneysxsw,0
usa today ipad make good use digital shortcut still looking like newspaper tapworthy,0
iphone one hand caramel macchiato ouch hiss hot apparently two pump lava begin tmsxsw,0
haz one showed charge anywhere bar charge iphone whole table wanted buy one,0
apple open pop store across street two week umm genius obvious cough ipad cough,0
apple open pop shop cool concept spend waiting ipad,1
apple opened makeshift store ipad available 5pm today tempted,0
hey new ipad app dexteria available like u facebook,0
ipad plenty people store line scarfing apple store w others,0
nice line outside apple store guess people want ipad2s,0
packing point showing iphone fragmentation,1
google party best ever get butt,0
hey peep new iphone app voicefeed launched u check let u know think,0
google planning launch major new social network called circle preview far super positive,0
need play game android,0
left pocket guide hotel know going cope say usability ipad iphone app,1
temporary pop shop apple nice flipboard upgrade,0
apple pop store joke,0
apple pop store attractive impressive many permanent retail store,0
apple pop store line finally dwindled time check ipad,0
apple popup store hook last night singing dancing high five new ipad purchase,0
brilliant pr stunt business idea customer service response one apple set pop store draw crowd medium revenue,0
excellent presentation untapped ipad market site pour poursite accessibility,0
ipad pretty sick almost make think need one,0
problem google living story process creating content change interface hacknews,1
brilliant read attention marketer medium professional ipad save usguys,1
google reproducing digitally way organically consume information goggles best example marissameyer,0
retiring wine library tv moving onto daily grape get app yr iphone thankyouecon,0
reveals average time user spent nyt oscar ipad app 6mins blew mind newsapps,0
right app android sweeeeet nice job team,0
congrats good news austin eats bbq iphone available itunes austin bbq,0
congrats awesome ipad sxswbuffalo lounge experience complete quibidswin,0
congrats yes gowalla win best andoid app team android choice award thanks,0
like google tweet new think speak mark belinsky 1tweets panel,0
l e law average better buzz google circle,1
love apple naomi campbell pop store rage,0
new rule ooing ahing new ipad get big deal everybody one,1
hot rumor google new social network google circle photo video status sharing,0
google saving user year time gps navigation using alternate route w traffic,0
wow saw someone using computing device mac ipad rare sighting indeed,0
iphone say connect internet even though wifi work great computer suggestion,1
grabbed seat ballroom hear google,0
ok seen two impressive line since one apple store yesterday party cc,0
apple setting pop store downtown austin sell bajillions ipad2s attendee course,0
exclusive shot popup apple store,0
ipad art show time check interactive fool,0
spilled bean next platform flipboard iphone team started working sxflip gr,0
jealous new ipad,0
impressed far ipad slim form instant ness seen tried one yet,0
many ppl w apple product think head explode message brought via iphone,0
apple smart open pop store austin crowd,0
q social site like delicious often better result google bing qagb,1
ipad sold 1st time user,0
got exciting thing showing year including drag drop store management iphone,0
talked great developer android meetup looking forward working android androidsxsw,0
information morning apple store getting build two week ipad love jealous,0
seen best ipad case ever starting transfer bit book fetishism ipads slowly surely,0
spotted man need ipad man need go apple store,0
still ipad 2 least pop apple store bought one,0
apple store austin people taking pic ipad,0
oh apple store look home downtown austin sxtxstate apple store photo,0
stupid apple opening temporary store austin ipad launch via,0
great new support web font google,0
apple school marketing expert,0
great talk must one mention apple,0
read apple selling ipad release day good lord vortex smugness day may unbearable,1
bad want go home read google reader feed geek,0
check dokobots game iphone android seems pretty cool geogames tmsxsw,0
dangerous iphone apps,1
hopefully best thing come fact people flew austin pick ipad,0
first day exhibit hall open stop emc booth enter win ipad,0
check free sampler itunes,0
following google bing qa session great insight webmaster qagb,0
like ipoo app iphone ha 4chan internet bathroom wall sxswmoot,0
pdanet awesome app yet android like,0
check new app gonna huge next week beyond,0
new whrrl app live iphone app store android marketplace get hot time,0
used ol ipad help brit find hotel austin gooddeed winning,0
must one without ipad someone need make case make original ipad look like new 2nd gen,0
unveiling pop apple store scarborough building,0
ipad star gadget,0
went whole day w laptop used ipad thing missed ftp cloudapp fast typing skype ipad,1
exploring world 3d xml combine google earth w location individual show time cool,0
last year single ipad public today common laptop seen android tablet,0
think would app blackberry gave iphone finger guess carry around ipad lame,1
expectation engagement ipad visual social delving experience sxfl,0
wow thing insanely thin light hold ipad seriously mosaicxm,0
among thing missing google aclu dance party,0
top thing loved far outbrain ipad groupme,0
like think apple decided sell new ipad based suggestion everyone welcome,0
anyone think going walking around old inferior ipad ipad released well wrong,0
people apple store smell great hereforwork nottheipad,1
check new android app bizzy using check,0
check video get glimpse action like ipad ipad gadget could resist,0
believe good life would much better ipad brainwashed line,0
thousand ipad floating around austin seen even one single android tablet even one zero,0
excellent tip going new iphone guide austin free march hard beat free lp,0
thank letting test drive car apple store let hope fix phone,1
way ipad design headache sure bloggable sure interesting,0
way forgot ipad cleveland hopkins airport w others,0
listening google q saying see yelp service going die far interesting,0
listening google marissa mayer discus new product including google hotpot watch yelp,0
apple set open popup shop core action geek need ipad love,0
apple set open popup shop core action going sell ipad,0
apple set open popup shop core action apple ipad retail,0
expecting see flood shiny new ipad today line apple store around block,0
get see google fail social another day okay google circle debuting today,1
listening twit live also went boxee keg party google robot event saw tim ferris speak checked ebay hackathon,0
going wait ipad know going better ipad,0
fond ipad,0
futuremf trajan google destroyed title tag website seo open graph protocol added clean title tag instead,1
attending tv new medium formula success seeing lot ipad around,0
two apple store atx ipad go sale next friday austin apple store going busy,0
apple two austin store week downtown presence change popup store,0
know u u selling weve never talked hate product check heyo iphone,1
unloading apple store corner 6th congress austin temp store dis awesome,0
apple pop store pop genius bar everywhere,0
apple pop store line ridic,1
trying update software iphone download app far luck wonder phone mexico,1
def could use ipad today tweeting via iphone sorta pretty much sux,1
brilliant use case kik concierge service great get android iphone add user ask away,0
used ipad app example good navigation uxdes,0
little need parent anymore comment child playing ipad connectedbrands,0
took video ipad 6th street smart cover rad filming huge display nut look great playback,0
dense una vuelta por socialfuel para ver la gran diferencia revolution clumsily translated google,1
wishing see rumored demo new social network circle via,0
better google edchat musedchat classical newtwitter,1
interrupt regularly scheduled geek programming big news google circle,0
interrupt regularly scheduled geek programming big news google circle sound interesting,0
giving away ipad creator popular disc interactive create disc share twitter,0
weekend ipad release taking part either sadly anybodywanttobuymeanipad,0
apple cocky perhaps separate ipad store would good idea guess need extra marketing,1
brilliant win win austin ipad,0
winner rt awesome got ipad via,0
impressed google articulate relevant fun austin convention center,0
new app resourceful way get connected hashable iphone droid,0
disgusted iphone battery life already pm blackberry going strong,1
wow witnessed homeless guy giving detailed ipad inventory info passerby austin popup store,0
ouch google v bing respect bing guy invited fill third chair,0
yes gowalla win best andoid app team android choice award thanks,0
thought social get overblown google may announcing circle today,1
check mom ipad designing boomer,0
google launch major new social network called circle possibly today,0
apple classiest fascist company america really elegant rji,1
mint com confines coding iphone app luxury worry learning diff phone version gsdm sxswmobileapps,0
winning free music sampler itunes track industry favorite breakout artist link,0
awesome google map great job google,0
got copy enchantment ipad kindle today excited thx keeping world enchanted glad,0
lack newsworthy announcement unless count google circle googlecircles,0
spread word festival explorer app live free,0
new ubersocial iphone app store includes uberguide,0
new ubersocial iphone app store includes uberguide cont,0
apple market comer,0
apple pop ordinance front line admission first step recovery,0
apple pop shop cool,0
google people work people rather people work agileagency,0
lost ipad corrupted iphone crazy hotel good time au austin bergstrom,1
midday iphone mid battery outlet blocked immobile booth serf purpose taunt,1
sorry going party iphone forever,0
ning mobile roadie thrilled offer unofficial insider guide iphone fun austin,0
google people work people rather people work agileagency,0
find start impromptu party wait til android app come,0
pop apple store packed,0
oh check new ipad thing strangeproblems,0
sweet rt google launch major new social network called circle possibly today,0
nice move apple set open popup shop core action,0
big night come party google tonight band food art interactive map cc,0
novelty ipad news apps fade fast among digital delegate via xipad,1
thank picked book killer photoes iphone sxswchi,0
good work check latest stream apple store ipad come playsxsw,0
good news austin eats bbq iphone available itunes austin bbq,0
bout time new ubersocial iphone app store includes uberguide sponsored cont,0
good info improve website ranking advice google bing,0
oh god rumor apple opening temporary store downtown austin ipad launch,0
true google lost way caring much business v user psych,1
cool rumor apple open temporary store dt atx ipad launch,0
oh snap 0 party hosted google,0
brilliant marketing apple opening temporary store downtown austin next world buy,0
brilliant meeting line popup apple store ipad love place,0
congrats yes gowalla win best andoid app team android choice award thanks,0
love rumor apple open temporary store dt atx ipad launch,0
well yeah music iphone nerd god cute girl everywhere love interactive end music begin,0
shite app new ubersocial iphone app store includes uberguide sponso cont,1
brilliant apple setting pop store downtown austin sell ton ipad2s attendee course,0
brilliant apple set open popup shop core action going sell ipad,0
well done see tonight w0t wrote hollergram ipad app,0
finally yeaayyy new ubersocial iphone app store includes uberguide sponsored mashable,0
begin story cool app also apple launching ipad temp store stay tuned love,0
wise apple opening temp store austin via ipad,0
fyi breaking google launch major new social network called circle today via socialmedia,0
brilliant hope plenty ipads apple open pop shop report,0
new www divasanddorks com best world apple pop store invades,0
goodguide iphone app scan barcode rank environmental responsibility company nice pressure smmnextgen,0
think getting ready order ipad would spend attend,0
wow really trying tempt pick ipad tomorrow apple austintx,0
know iphone started lying signal strength,1
wow dedication well first line hour go ipad apple sleepy,0
world largest ipad,0
nexus mobile 0x useful iphone many ppl iphone,1
google party maggie maes got free glow dark shade,0
google scale tiny change even color blue meaningful optimum shade blue link,0
hey u go game launch iphone scavenger hunt via see,0
hmm get twitter search update hootsuite tweetdeck ipad,1
last day get lp austin iphone app free travel,0
ceo gowalla tell journey blinksale iconbuffet packrat iphone born lightbulb turned,0
via ipad store sold everything except 4gig wifi white,0
cnnmoney computing device bigger ipad pas mobile space buzz wssxsw,0
look everyone zomg got ipad first day,0
get loaded hoot hootsuite mobile update iphone blackberry android,0
get app yet android version schedule,0
tried new ipad app beautiful p thanks tvontheradio tix yall rock,0
google circle new social medium site wow,0
study player tell u petting iphone make happy tapworthy,0
paper phone mean ipad likely useless well fail,1
google launch major new social network circle possibly today,0
buzz make wish android phone beforetwitter envy,0
apple set temporary store ipad anyone cc,0
love apple come cool technology one ever heard go conference,0
love apple come cool technology one ever heard go,0
agree great iphone apps mealtime via bizzy,0
yeah detail ipad giveaway coming tonight,0
woot first android disc market version coming soon,0
yay flipboard next platform iphone ceo say,0
score google handing free pi pi day win,0
whoa google launch major new social network called circle possibly today,0
cool heard apple pop store downtown austin pic already gowalla ipad,0
nice hey apple fan get peek space slated pop apple store tomorrow,0
reading book flight guy next reading ipad boom,0
haha waited line apple product missing important rite passage,0
woo hoo finally back iphone il,0
lot ipad austin bigger thought would,0
nc buzzing ipad geekdom austin elevate smart apple,0
yeay new ubersocial iphone app store includes uberguide sponsored masha,0
saw morning google circle would start rollout holding breath open minded,0
want bad would make live blogging ipad much efficient beautiful case beat leather,0
woohoo standing line 6th time ipad apple popupstore,0
woot spilled bean next platform flipboard iphone team started working sxflip,0
thanks love show u iphone via twitpic share love zazzlesxsw,0
wishing excellent day today got ipad envy,0
